Graph Name,k,l,Gen_xy,Edges,Vertex Count,Edge Count,Cross Count,Thickness
"(1,1)-MTG(6)",1,1,"{0: (-123, -90), 1: (161, 160), 2: (175, -135), 3: (-115, 190), 4: (15, -20), 5: (-283, 40)}","[(0, 4), (0, 5), (1, 4), (2, 4), (3, 5)]",6,5,0,1
"(1,1)-MTG(5)",1,1,"{0: (-29, -185), 1: (-10, 181), 2: (227, 44), 3: (-186, 56), 4: (221, -117)}","[(0, 4), (1, 3), (1, 2), (2, 4)]",5,4,0,1
"(1,1)-MTG(10)",1,1,"{0: (-221, -180), 1: (-102, 220), 2: (263, 37), 3: (79, -76), 4: (-204, 102), 5: (155, 146), 6: (12, 49), 7: (-21, -244), 8: (211, -109), 9: (-332, -31)}","[(0, 9), (1, 6), (1, 4), (2, 8), (2, 5), (3, 7), (3, 8), (3, 6), (4, 9)]",10,9,0,1
"(1,1)-MTG(7)",1,1,"{0: (-200, -134), 1: (-76, 118), 2: (227, -31), 3: (12, -169), 4: (122, 212), 5: (-263, 134), 6: (312, -240)}","[(0, 3), (1, 5), (1, 4), (2, 6), (2, 4), (2, 3)]",7,6,0,1
"(2,3)-MTG(8)",2,3,"{0: (-212, 188), 1: (-222, -139), 2: (224, 102), 3: (289, -260), 4: (-336, 49), 5: (125, 208), 6: (46, -250), 7: (-54, -257)}","[(0, 1), (0, 4), (0, 5), (1, 6), (1, 4), (1, 7), (2, 3), (2, 6), (2, 5), (3, 7), (3, 6), (4, 7), (6, 7)]",8,13,2,2
"(2,3)-MTG(8)",2,3,"{0: (38, 260), 1: (-44, 259), 2: (-354, 239), 3: (338, 241), 4: (-41, -289), 5: (31, -287), 6: (-153, -282), 7: (149, -281)}","[(0, 1), (0, 2), (0, 3), (0, 5), (1, 2), (1, 3), (1, 5), (1, 4), (4, 7), (4, 6), (4, 5), (5, 6), (5, 7)]",8,13,8,3
"(2,3)-MTG(9)",2,3,"{0: (-248, -184), 1: (10, 179), 2: (198, -106), 3: (-30, -146), 4: (174, 121), 5: (-221, 149), 6: (-121, -33), 7: (76, -34), 8: (-76, 89)}","[(0, 3), (0, 6), (1, 8), (1, 4), (1, 7), (2, 4), (2, 7), (3, 7), (3, 6), (4, 7), (5, 8), (5, 6), (6, 8), (6, 7), (7, 8)]",9,15,0,1
"(3,3)-MTG(0)",3,3,"{0: (38, 260), 1: (-44, 259), 2: (-354, 239), 3: (338, 241), 4: (-41, -289), 5: (31, -287), 6: (-153, -282), 7: (149, -281)}",[],0,0,0,0
"(2,3)-MTG(0)",2,3,{},[],0,0,0,0
"(2,3)-MTG(4)",2,3,"{0: (-26, -18), 1: (-85, -81), 2: (236, -179), 3: (84, -11)}","[(0, 2), (0, 3), (0, 1), (1, 3), (2, 3)]",4,5,1,2
"(2,3)-MTG(0)",2,3,"{0: (-33, 63), 1: (147, 130), 2: (-197, 162), 3: (-11, 225), 4: (74, 10), 5: (145, -199), 6: (230, -22), 7: (-19, -165)}",[],0,0,0,0
"(2,3)-MTG(6)",2,3,"{0: (-99, 207), 1: (-282, 2), 2: (-201, 24), 3: (-88, -182), 4: (-238, -219), 5: (172, 82)}","[(0, 1), (0, 2), (0, 5), (1, 2), (1, 4), (2, 4), (2, 3), (3, 4), (3, 5)]",6,9,0,1
"(2,3)-MTG(7)",2,3,"{0: (0.26735395082629243, 0.1834300377882947), 1: (0.8712329096179716, 0.8714728657973515), 2: (0.08652479311075711, 0.8228019597433162), 3: (0.6066475936987009, 0.9945756952655685), 4: (0.3413840898659002, 0.5671486380320203), 5: (0.34897417932553343, 0.8763387941079749)}","[(4, 0), (3, 4), (1, 5), (5, 4), (2, 0), (4, 2), (1, 3), (3, 5), (5, 2)]",6,8,1,2
"(2,3)-MTG(6)",2,3,"{0: (-204, -247), 1: (307, 128), 2: (-241, 137), 3: (126, 246), 4: (-108, -10), 5: (-109, 143)}","[(0, 4), (0, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]",6,9,1,2
"(2,3)-MTG(7)",2,3,"{0: (-131, 0), 1: (129, -1), 2: (-116, 150), 3: (-124, -135), 4: (-54, 149), 5: (-187, 148), 6: (116, 169)}","[(0, 3), (0, 2), (0, 5), (1, 4), (1, 6), (2, 6), (2, 4), (2, 3), (2, 5), (4, 6), (4, 5)]",7,11,2,2
"(2,3)-MTG(13)",2,3,"{0: (-3.0, 259.5), 1: (-158.0, 249.5), 2: (188.0, 250.5), 3: (34.5, -13.5), 4: (-199.0, 249.0), 5: (147.0, 250.0), 6: (-6.5, -14.0), 7: (-42.5, -15.0), 8: (54.0, -285.0), 9: (-97.0, -285.5), 10: (-5.0, -288.0), 11: (-61.0, -284.5), 12: (90.0, -284.0)}","[(3, 8), (1, 5), (6, 8), (1, 7), (8, 11), (1, 6), (7, 11), (3, 5)]",13,8,0,0
"(2,3)-MTG(4)",2,3,"{0: (-218, -88), 1: (145, -25), 2: (31, -148), 3: (-98, 65)}","[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3)]",4,5,0,1
"(2,3)-MTG(8)",2,3,"{0: (38, 260), 1: (-44, 259), 2: (-354, 239), 3: (336, 245), 4: (-41, -289), 5: (31, -287), 6: (-153, -282), 7: (149, -281)}","[(0, 1), (0, 2), (0, 3), (0, 5), (1, 2), (1, 3), (1, 5), (1, 4), (4, 7), (4, 6), (4, 5), (5, 6), (5, 7)]",8,13,8,3
"(2,3)-MTG(9)",2,3,"{0: (-360, 10), 1: (-360, -10), 2: (-13, 198), 3: (0, 200), 4: (-11, -196), 5: (0, -200), 6: (390, 198), 7: (389, -199), 8: (10, 0)}","[(0, 2), (0, 1), (0, 8), (1, 8), (2, 4), (2, 3), (2, 8), (3, 8), (3, 6), (4, 7), (4, 8), (4, 5), (5, 7), (5, 8), (6, 7)]",9,15,3,2
"(2,3)-MTG(9)",2,3,"{0: (-398, 1), 1: (-398, -1), 2: (-1,199.99), 3: (0, 200), 4: (-1.02, -199.99), 5: (0, -200), 6: (399, 199.99), 7: (389.98, -199.99), 8: (1, 0)}","[(0, 2), (0, 1), (0, 8), (1, 8), (2, 4), (2, 3), (2, 8), (3, 8), (3, 6), (4, 7), (4, 8), (4, 5), (5, 7), (5, 8), (6, 7)]",9,15,3,2
"(2,3)-MTG(7)",2,3,"{0: (-393, -17), 1: (-393, 22), 2: (-25, 213), 3: (0, 200), 4: (-27, -215), 5: (0, -200), 6: (15, 4)}","[(0, 1), (0, 6), (1, 2), (1, 6), (2, 6), (2, 3), (3, 6), (3, 5), (4, 6), (4, 5), (5, 6)]",7,11,4,2
"(2,3)-MTG(5)",2,3,"{0: (-140, -179), 1: (-182, 116), 2: (101, 45), 3: (-49, 0), 4: (103, -77)}","[(0, 4), (0, 3), (1, 2), (1, 3), (2, 4), (2, 3), (3, 4)]",5,7,0,1
"(2,3)-MTG(5)",2,3,"{0: (-151, -132), 1: (-160, 56), 2: (101, 45), 3: (-39, -44), 4: (103, -77)}","[(0, 4), (0, 3), (0, 1), (1, 3), (2, 4), (2, 3), (3, 4)]",5,7,0,1
"(2,3)-MTG(7)",2,3,"{0: (-100, -20), 1: (-120, 20), 2: (240, 220), 3: (260, 200), 4: (240, -221), 5: (260, -200), 6: (280, 0)}","[(0, 1), (0, 4), (0, 6), (1, 6), (2, 3), (2, 6), (3, 6), (3, 5), (4, 5), (4, 6), (5, 6)]",7,11,4,2
"(2,3)-MTG(9)",2,3,"{0: (0, 100), 1: (1, 0), 2: (-1, 99.998), 3: (199, 99.998), 4: (-198, 1), 5: (0, -100), 6: (-2, -99.998), 7: (198, -99.998), 8: (-198, -1)}","{(0, 1), (2, 1), (3, 7), (1, 8), (5, 1), (3, 0), (0, 2), (7, 6), (2, 6), (5, 6), (8, 6), (4, 8), (1, 6), (7, 5), (4, 1)}",,,,
"(2,3)-MTG(10)",2,3,"{0: (0, 200), 1: (1, 0), 2: (-1, 199.999), 3: (399, 199.999), 4: (-398, 1), 5: (0, -200), 6: (-2.5, -199.999), 7: (397.5, -199.999), 8: (-398, -1)}","{(0, 1), (2, 1), (7, 5), (1, 8), (2, 0), (5, 1), (3, 0), (7, 6), (5, 6), (0, 5), (8, 6), (4, 8), (1, 6), (3, 2), (4, 1)}",,,,
"(2,3)-MTG(9)",2,3,"{0: (0, 200), 1: (1, 0), 2: (-1, 199.999), 3: (399, 199.999), 4: (-399, 7), 5: (0, -200), 6: (-2.5, -199.999), 7: (397.5, -199.999), 8: (-398, -1)}","[(0, 1), (0, 3), (0, 2), (0, 5), (1, 2), (1, 8), (1, 6), (1, 5), (1, 4), (2, 4), (2, 3), (4, 8), (5, 6), (5, 7), (6, 7)]",9,15,8,2
"(2,3)-MTG(6)",2,3,"{0: (-209, -23), 1: (11, 56), 2: (117, -194), 3: (253, 161), 4: (14, -107), 5: (291, -18)}","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 5), (1, 4), (2, 4), (2, 5), (3, 5)]",6,9,0,1
"(2,3)-MTG(9)",2,3,"{0: (-305, -95), 1: (-251, -7), 2: (-147, 76), 3: (-30, 109), 4: (101, 86), 5: (200, 8), 6: (266, -94), 7: (261, -182), 8: (-310, -177)}","[(0, 1), (0, 8), (0, 2), (1, 2), (1, 8), (1, 3), (2, 4), (2, 3), (3, 4), (3, 5), (4, 6), (4, 5), (5, 6), (5, 7), (6, 7)]",9,15,6,2
"(2,3)-MTG(7)",2,3,"{0: (-255, 163), 1: (-39, 220), 2: (59, 222), 3: (2, -276), 4: (312, 240), 5: (306, 143), 6: (311, 206)}","[(0, 1), (0, 2), (1, 2), (1, 6), (1, 3), (2, 6), (2, 4), (2, 3), (4, 5), (4, 6), (5, 6)]",7,11,5,2
"(2,3)-MTG(9)",2,3,"{0: (-285, 157), 1: (-39, 220), 2: (59, 222), 3: (2, -276), 4: (312, 240), 5: (306, 143), 6: (311, 206), 7: (-294, 238), 8: (-290, 196)}","[(0, 1), (0, 7), (0, 8), (1, 2), (1, 8), (1, 6), (1, 3), (2, 6), (2, 3), (2, 4), (2, 8), (4, 5), (4, 6), (5, 6), (7, 8)]",9,15,8,2
